Family,Brand,Product,State,Territory,Sales,Target,Percentage
Family A,Brand W,Product 1,NY,Territory 1,"$365,383","$503,748",73%
Family A,Brand W,Product 1,NY,Territory 2,"$13,286","$123,057",11%
Family A,Brand W,Product 1,NY,Territory 3,"$100,831","$286,813",35%
Family A,Brand W,Product 1,NJ,Territory 6,"$407,847","$604,345",67%
Family A,Brand W,Product 1,PA,Territory 11,"$462,008","$508,533",91%
Family A,Brand W,Product 1,CT,Territory 13,"$61,796","$135,024",46%
Family A,Brand W,Product 1,CT,Territory 16,"$167,370","$243,844",69%
Family A,Brand W,Product 2,NY,Territory 1,"$87,820","$257,551",34%
Family A,Brand W,Product 2,NY,Territory 3,"$448,984","$611,664",73%
Family A,Brand W,Product 2,NJ,Territory 5,"$391,614","$558,188",70%
Family A,Brand W,Product 2,NJ,Territory 8,"$141,051","$174,515",81%
Family A,Brand W,Product 2,CT,Territory 14,"$270,028","$314,587",86%
Family A,Brand W,Product 2,PA,Territory 10,"$462,694","$558,538",83%
Family A,Brand W,Product 2,PA,Territory 12,"$247,145","$349,688",71%
Family A,Brand W,Product 2,CT,Territory 16,"$65,881","$193,500",34%
Family A,Brand X,Product 3,NY,Territory 2,"$467,442","$577,041",81%
Family A,Brand X,Product 3,NY,Territory 3,"$183,776","$360,600",51%
Family A,Brand X,Product 3,NJ,Territory 4,"$278,177","$355,172",78%
Family A,Brand X,Product 3,NJ,Territory 7,"$193,537","$316,987",61%
Family A,Brand X,Product 3,CT,Territory 13,"$322,431","$508,985",63%
Family A,Brand X,Product 3,CT,Territory 14,"$144,701","$207,326",70%
Family A,Brand X,Product 3,CT,Territory 16,"$256,524","$360,513",71%
Family A,Brand X,Product 3,CT,Territory 17,"$321,609","$326,228",99%
Family A,Brand X,Product 4,NY,Territory 1,"$48,474","$227,297",21%
Family A,Brand X,Product 4,NJ,Territory 5,"$356,506","$376,442",95%
Family A,Brand X,Product 4,PA,Territory 9,"$359,540","$372,284",97%
Family A,Brand X,Product 4,PA,Territory 10,"$402,117","$529,985",76%
Family A,Brand X,Product 4,PA,Territory 11,"$492,994","$674,414",73%
Family A,Brand X,Product 4,PA,Territory 12,"$298,635","$395,535",76%
Family A,Brand X,Product 4,CT,Territory 14,"$489,323","$660,003",74%
Family A,Brand X,Product 4,CT,Territory 15,"$289,768","$351,945",82%
Family A,Brand X,Product 5,NY,Territory 2,"$51,900","$56,718",92%
Family A,Brand X,Product 5,NY,Territory 3,"$7,063","$119,847",6%
Family A,Brand X,Product 5,NJ,Territory 4,"$407,517","$410,060",99%
Family A,Brand X,Product 5,NJ,Territory 6,"$331,521","$377,190",88%
Family A,Brand X,Product 5,PA,Territory 12,"$430,518","$439,105",98%
Family A,Brand X,Product 5,CT,Territory 15,"$51,861","$61,698",84%
Family A,Brand X,Product 5,CT,Territory 18,"$348,515","$518,991",67%
Family B,Brand Y,Product 6,PA,Territory 10,"$361,967","$498,950",73%
Family B,Brand Y,Product 6,NY,Territory 1,"$97,303","$117,124",83%
Family B,Brand Y,Product 6,PA,Territory 9,"$295,790","$400,926",74%
Family B,Brand Y,Product 6,NJ,Territory 7,"$263,537","$269,370",98%
Family B,Brand Y,Product 6,NJ,Territory 5,"$380,765","$418,449",91%
Family B,Brand Y,Product 7,NJ,Territory 7,"$17,331","$131,180",13%
Family B,Brand Y,Product 7,NJ,Territory 5,"$464,396","$525,407",88%
Family B,Brand Y,Product 7,CT,Territory 13,"$405,455","$441,946",92%
Family B,Brand Y,Product 8,NJ,Territory 7,"$192,372","$304,593",63%
Family B,Brand Y,Product 8,NJ,Territory 8,"$457,050","$587,342",78%
Family B,Brand Y,Product 8,PA,Territory 9,"$76,937","$125,577",61%
Family B,Brand Y,Product 8,CT,Territory 15,"$471,648","$517,304",91%
Family B,Brand Y,Product 8,CT,Territory 18,"$26,815","$120,709",22%
Family B,Brand Y,Product 8,NJ,Territory 4,"$234,933","$357,754",66%
Family B,Brand Z,Product 9,NY,Territory 1,"$158,626","$221,721",72%
Family B,Brand Z,Product 9,PA,Territory 10,"$376,367","$384,905",98%
Family B,Brand Z,Product 9,CT,Territory 18,"$462,160","$479,688",96%
Family B,Brand Z,Product 9,NJ,Territory 6,"$33,640","$58,875",57%
Family B,Brand Z,Product 10,NJ,Territory 7,"$172,595","$284,040",61%
Family B,Brand Z,Product 10,NJ,Territory 4,"$259,668","$402,187",65%
Family B,Brand Z,Product 10,CT,Territory 18,"$219,248","$298,311",73%
Family B,Brand Z,Product 10,NY,Territory 2,"$347,471","$426,972",81%
Family B,Brand Z,Product 10,PA,Territory 9,"$282,905","$308,919",92%
Family B,Brand Z,Product 10,NY,Territory 3,"$135,982","$185,435",73%
Family B,Brand Z,Product 10,NJ,Territory 7,"$38,593","$80,061",48%
Family B,Brand Z,Product 10,CT,Territory 17,"$101,718","$175,090",58%
