NBA Team,Position,Player Name,Country,State,Sales,Target,Percentage
Golden State Warriors,Point Guard,Stephen Curry,USA,AL,"$9,504,543","$11,988,395",79%
Golden State Warriors,Point Guard,Stephen Curry,USA,AK,"$3,220,662","$4,279,557",75%
Golden State Warriors,Point Guard,Stephen Curry,USA,AZ,"$1,200,273","$1,568,494",77%
Golden State Warriors,Point Guard,Stephen Curry,USA,AR,"$1,522,822","$2,816,248",54%
Golden State Warriors,Point Guard,Stephen Curry,USA,CA,"$6,423,816","$7,184,957",89%
Golden State Warriors,Point Guard,Stephen Curry,USA,CO,"$1,941,667","$2,185,545",89%
Golden State Warriors,Point Guard,Stephen Curry,USA,CT,"$1,120,049","$1,936,934",58%
Golden State Warriors,Point Guard,Stephen Curry,USA,DE,"$4,673,639","$5,956,065",78%
Golden State Warriors,Point Guard,Stephen Curry,USA,FL,"$1,147,758","$1,227,304",94%
Golden State Warriors,Point Guard,Stephen Curry,USA,GA,"$1,526,813","$3,280,574",47%
Golden State Warriors,Point Guard,Stephen Curry,USA,HI,"$9,183,931","$9,308,447",99%
Golden State Warriors,Point Guard,Stephen Curry,USA,ID,"$7,392,983","$9,048,376",82%
Golden State Warriors,Point Guard,Stephen Curry,USA,IL,"$9,597,926","$10,931,923",88%
Golden State Warriors,Point Guard,Stephen Curry,USA,IN,"$2,149,526","$3,929,890",55%
Golden State Warriors,Point Guard,Stephen Curry,USA,IA,"$9,364,711","$11,096,537",84%
Golden State Warriors,Point Guard,Stephen Curry,USA,KS,"$7,946,767","$9,347,422",85%
Golden State Warriors,Point Guard,Stephen Curry,USA,KY,"$4,591,218","$6,902,239",67%
Golden State Warriors,Point Guard,Stephen Curry,USA,LA,"$8,316,055","$9,974,618",83%
Golden State Warriors,Point Guard,Stephen Curry,USA,ME,"$5,256,031","$5,546,692",95%
Golden State Warriors,Point Guard,Stephen Curry,USA,MD,"$3,844,106","$5,677,273",68%
Golden State Warriors,Point Guard,Stephen Curry,USA,MA,"$1,359,709","$2,887,934",47%
Golden State Warriors,Point Guard,Stephen Curry,USA,MI,"$7,223,135","$8,028,298",90%
Golden State Warriors,Point Guard,Stephen Curry,USA,MN,"$9,164,783","$9,632,982",95%
Golden State Warriors,Point Guard,Stephen Curry,USA,MS,"$4,733,829","$4,773,743",99%
Golden State Warriors,Point Guard,Stephen Curry,USA,MO,"$8,669,614","$11,071,437",78%
Golden State Warriors,Point Guard,Stephen Curry,USA,MT,"$8,643,087","$11,091,608",78%
Golden State Warriors,Point Guard,Stephen Curry,USA,NE,"$8,234,347","$10,441,917",79%
Golden State Warriors,Point Guard,Stephen Curry,USA,NV,"$6,251,466","$8,220,796",76%
Golden State Warriors,Point Guard,Stephen Curry,USA,NH,"$9,977,971","$10,228,799",98%
Golden State Warriors,Point Guard,Stephen Curry,USA,NJ,"$6,873,953","$7,185,709",96%
Golden State Warriors,Point Guard,Stephen Curry,USA,NM,"$8,138,072","$10,452,961",78%
Golden State Warriors,Point Guard,Stephen Curry,USA,NY,"$6,754,841","$9,208,994",73%
Golden State Warriors,Point Guard,Stephen Curry,USA,NC,"$2,639,732","$4,309,855",61%
Golden State Warriors,Point Guard,Stephen Curry,USA,ND,"$2,900,963","$4,098,408",71%
Golden State Warriors,Point Guard,Stephen Curry,USA,OH,"$9,497,163","$10,447,221",91%
Golden State Warriors,Point Guard,Stephen Curry,USA,OK,"$3,554,816","$5,954,490",60%
Golden State Warriors,Point Guard,Stephen Curry,USA,OR,"$9,913,338","$11,885,251",83%
Golden State Warriors,Point Guard,Stephen Curry,USA,PA,"$6,201,359","$7,950,411",78%
Golden State Warriors,Point Guard,Stephen Curry,USA,RI,"$3,966,802","$4,459,894",89%
Golden State Warriors,Point Guard,Stephen Curry,USA,SC,"$1,301,297","$3,053,182",43%
Golden State Warriors,Point Guard,Stephen Curry,USA,SD,"$4,770,487","$5,048,564",94%
Golden State Warriors,Point Guard,Stephen Curry,USA,TN,"$8,102,025","$8,665,925",93%
Golden State Warriors,Point Guard,Stephen Curry,USA,TX,"$1,437,711","$3,679,243",39%
Golden State Warriors,Point Guard,Stephen Curry,USA,UT,"$2,815,414","$5,037,765",56%
Golden State Warriors,Point Guard,Stephen Curry,USA,VT,"$4,996,935","$5,641,521",89%
Golden State Warriors,Point Guard,Stephen Curry,USA,VA,"$5,003,396","$5,930,453",84%
Golden State Warriors,Point Guard,Stephen Curry,USA,WA,"$3,503,350","$3,795,319",92%
Golden State Warriors,Point Guard,Stephen Curry,USA,WV,"$6,952,726","$8,192,961",85%
Golden State Warriors,Point Guard,Stephen Curry,USA,WI,"$6,396,616","$8,688,943",74%
Golden State Warriors,Point Guard,Stephen Curry,USA,WY,"$6,309,056","$6,340,566",100%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,AL,"$5,580,314","$7,356,877",76%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,AK,"$4,086,536","$5,876,195",70%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,AZ,"$9,218,136","$9,731,627",95%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,AR,"$1,564,628","$2,835,547",55%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,CA,"$7,452,998","$9,244,863",81%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,CO,"$3,100,268","$4,141,165",75%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,CT,"$7,276,677","$8,675,001",84%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,DE,"$9,141,298","$10,610,653",86%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,FL,"$3,158,345","$3,544,959",89%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,GA,"$2,169,334","$3,192,486",68%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,HI,"$1,461,816","$3,603,869",41%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,ID,"$4,833,463","$5,392,955",90%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,IL,"$7,296,542","$8,992,711",81%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,IN,"$6,103,351","$7,162,280",85%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,IA,"$2,763,966","$4,490,767",62%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,KS,"$5,247,951","$7,229,286",73%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,KY,"$8,594,394","$9,041,523",95%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,LA,"$9,277,707","$9,407,418",99%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,ME,"$7,046,389","$9,236,174",76%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,MD,"$7,392,064","$7,820,983",95%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,MA,"$5,586,977","$5,627,185",99%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,MI,"$5,687,066","$7,957,187",71%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,MN,"$8,155,593","$8,431,674",97%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,MS,"$9,873,826","$11,135,999",89%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,MO,"$3,986,405","$4,412,153",90%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,MT,"$1,839,415","$2,542,068",72%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,NE,"$9,609,727","$11,734,873",82%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,NV,"$2,907,895","$4,519,908",64%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,NH,"$6,883,385","$9,140,738",75%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,NJ,"$7,204,611","$9,459,121",76%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,NM,"$3,976,881","$4,729,702",84%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,NY,"$2,279,743","$4,515,071",50%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,NC,"$1,234,369","$3,397,905",36%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,ND,"$9,123,532","$11,599,241",79%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,OH,"$7,898,633","$8,358,140",95%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,OK,"$8,713,284","$11,205,986",78%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,OR,"$3,564,613","$4,611,789",77%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,PA,"$2,717,861","$3,674,801",74%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,RI,"$2,389,295","$4,102,577",58%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,SC,"$4,422,788","$4,551,915",97%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,SD,"$9,133,456","$10,153,636",90%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,TN,"$9,668,166","$12,114,008",80%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,TX,"$6,278,535","$7,487,934",84%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,UT,"$5,587,778","$5,747,539",97%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,VT,"$1,125,178","$3,331,171",34%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,VA,"$8,815,924","$11,068,743",80%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,WA,"$6,545,973","$6,622,072",99%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,WV,"$6,732,565","$7,370,361",91%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,WI,"$5,102,045","$6,831,568",75%
Golden State Warriors,Shooting Guard,Klay Thompson,USA,WY,"$7,521,477","$8,098,811",93%
New York Knicks,Small Forward,Carmelo Anthony,USA,AL,"$6,870,451","$9,145,766",75%
New York Knicks,Small Forward,Carmelo Anthony,USA,AK,"$8,353,939","$9,384,314",89%
New York Knicks,Small Forward,Carmelo Anthony,USA,AZ,"$6,594,538","$8,697,163",76%
New York Knicks,Small Forward,Carmelo Anthony,USA,AR,"$4,274,594","$6,422,513",67%
New York Knicks,Small Forward,Carmelo Anthony,USA,CA,"$2,272,106","$2,517,040",90%
New York Knicks,Small Forward,Carmelo Anthony,USA,CO,"$2,148,089","$4,146,397",52%
New York Knicks,Small Forward,Carmelo Anthony,USA,CT,"$1,981,239","$3,081,876",64%
New York Knicks,Small Forward,Carmelo Anthony,USA,DE,"$1,395,878","$1,444,728",97%
New York Knicks,Small Forward,Carmelo Anthony,USA,FL,"$3,552,451","$4,301,654",83%
New York Knicks,Small Forward,Carmelo Anthony,USA,GA,"$7,860,583","$8,291,099",95%
New York Knicks,Small Forward,Carmelo Anthony,USA,HI,"$7,171,247","$7,379,289",97%
New York Knicks,Small Forward,Carmelo Anthony,USA,ID,"$2,118,121","$4,367,897",48%
New York Knicks,Small Forward,Carmelo Anthony,USA,IL,"$9,466,850","$10,948,940",86%
New York Knicks,Small Forward,Carmelo Anthony,USA,IN,"$1,572,449","$3,027,018",52%
New York Knicks,Small Forward,Carmelo Anthony,USA,IA,"$8,137,097","$8,843,222",92%
New York Knicks,Small Forward,Carmelo Anthony,USA,KS,"$5,871,071","$8,296,853",71%
New York Knicks,Small Forward,Carmelo Anthony,USA,KY,"$9,202,622","$9,989,547",92%
New York Knicks,Small Forward,Carmelo Anthony,USA,LA,"$3,051,398","$3,785,814",81%
New York Knicks,Small Forward,Carmelo Anthony,USA,ME,"$8,487,821","$10,961,501",77%
New York Knicks,Small Forward,Carmelo Anthony,USA,MD,"$7,999,638","$8,468,086",94%
New York Knicks,Small Forward,Carmelo Anthony,USA,MA,"$5,086,530","$7,515,501",68%
New York Knicks,Small Forward,Carmelo Anthony,USA,MI,"$3,252,296","$4,991,663",65%
New York Knicks,Small Forward,Carmelo Anthony,USA,MN,"$5,989,592","$8,153,896",73%
New York Knicks,Small Forward,Carmelo Anthony,USA,MS,"$4,124,122","$4,862,986",85%
New York Knicks,Small Forward,Carmelo Anthony,USA,MO,"$6,187,798","$8,628,641",72%
New York Knicks,Small Forward,Carmelo Anthony,USA,MT,"$7,446,250","$8,295,833",90%
New York Knicks,Small Forward,Carmelo Anthony,USA,NE,"$9,351,184","$11,497,435",81%
New York Knicks,Small Forward,Carmelo Anthony,USA,NV,"$9,027,127","$9,187,909",98%
New York Knicks,Small Forward,Carmelo Anthony,USA,NH,"$9,349,017","$9,719,241",96%
New York Knicks,Small Forward,Carmelo Anthony,USA,NJ,"$1,649,174","$2,706,285",61%
New York Knicks,Small Forward,Carmelo Anthony,USA,NM,"$7,581,117","$10,061,023",75%
New York Knicks,Small Forward,Carmelo Anthony,USA,NY,"$2,129,492","$3,627,230",59%
New York Knicks,Small Forward,Carmelo Anthony,USA,NC,"$5,705,189","$7,427,434",77%
New York Knicks,Small Forward,Carmelo Anthony,USA,ND,"$8,808,983","$8,913,616",99%
New York Knicks,Small Forward,Carmelo Anthony,USA,OH,"$5,816,912","$7,607,896",76%
New York Knicks,Small Forward,Carmelo Anthony,USA,OK,"$3,955,624","$4,436,684",89%
New York Knicks,Small Forward,Carmelo Anthony,USA,OR,"$4,653,992","$5,375,214",87%
New York Knicks,Small Forward,Carmelo Anthony,USA,PA,"$8,875,412","$9,828,764",90%
New York Knicks,Small Forward,Carmelo Anthony,USA,RI,"$2,510,772","$3,514,707",71%
New York Knicks,Small Forward,Carmelo Anthony,USA,SC,"$5,197,088","$6,405,603",81%
New York Knicks,Small Forward,Carmelo Anthony,USA,SD,"$9,160,690","$11,397,765",80%
New York Knicks,Small Forward,Carmelo Anthony,USA,TN,"$1,982,025","$2,159,460",92%
New York Knicks,Small Forward,Carmelo Anthony,USA,TX,"$3,502,298","$5,016,442",70%
New York Knicks,Small Forward,Carmelo Anthony,USA,UT,"$5,414,957","$6,046,272",90%
New York Knicks,Small Forward,Carmelo Anthony,USA,VT,"$7,353,028","$8,456,596",87%
New York Knicks,Small Forward,Carmelo Anthony,USA,VA,"$4,295,545","$5,275,334",81%
New York Knicks,Small Forward,Carmelo Anthony,USA,WA,"$3,888,957","$4,616,015",84%
New York Knicks,Small Forward,Carmelo Anthony,USA,WV,"$3,846,567","$5,042,519",76%
New York Knicks,Small Forward,Carmelo Anthony,USA,WI,"$1,062,342","$1,760,961",60%
New York Knicks,Small Forward,Carmelo Anthony,USA,WY,"$4,453,991","$6,427,972",69%
New York Knicks,Power Forward,Kristaps Porzngis,USA,AL,"$1,246,704","$1,444,506",86%
